ID;ID_Category;Word
1;1;Sejm
2;1;Senat
3;1;Konstytucja
4;1;Ministerstwo Finansów
5;1;Wybory 
6;1;Prezydent
7;1;Premier
8;1;Koalicja
9;1;Partia
10;1;Immunitet
11;2;Opera
12;2;Wiolonczela
13;2;Solista
14;2;Festiwal muzyczny
15;2;Koncert
16;2;Zespół muzyczny
17;2;Fortepian
18;2;Gitara akustyczna
19;2;Szanty
20;2;Hymn Państwowy
21;3;Roślin
22;3;Ssaki
23;3;Pantofelek
24;3;Ptaki
25;3;Ryby
26;3;Fotosynteza
27;3;Naczelne
28;3;Dinozaury
29;3;Płaz
30;3;Krokodyl
31;4;Rzeka
32;4;Kontynent
33;4;Płyta tektoniczna
34;4;Oceany
35;4;Góry
36;4;Biegun Północny
37;4;Afryka
38;4;Równik
39;4;Wody głębinowe
40;4;Puszcza Amazońska
41;5;Pierwiastek
42;5;Tablica Mendelejewa
43;5;Reakcja chemiczna
44;5;Kwasy
45;5;Metale
46;5;Etanol
47;5;Woda utleniona
48;5;Doświadczenie chemiczne
49;5;Amony
50;5;Radioaktywność
51;6;Grawitacja
52;6;Termodynamika
53;6;Amplituda
54;6;Fale radiowe
55;6;Pierwsza zasada dynamiki
56;6;Prąd elektryczny
57;6;Ruch jednostajnie przyśpieszony
58;6;Rezonans magnetyczny
59;6;Teoria względności
60;6;Woltomierz
61;7;Hinduizm
62;7;Chrześcijaństwo
63;7;Synagoga
64;7;Teologia
65;7;Kult
66;7;Wiara
67;7;Chrzest
68;7;Oświecenie
69;7;Koran
70;7;Biblia
71;8;Baza danych
72;8;Internet
73;8;Serwerownia
74;8;Języki programowania
75;8;Wymagania biznesowe
76;8;Aplikacja webowa
77;8;Weblogic
78;8;Naprawa błędów aplikacji
79;8;Gry komputerowe
80;8;Połączenie sieciowe
81;9;Układ krążenia
82;9;Kościec
83;9;Tętnice
84;9;Jelito
85;9;Mózg
86;9;Układ oddechowy
87;9;Gałka oczna
88;9;Trąbka słuchowa
89;9;Rdzeń kręgowy
90;9;Nerki
91;10;Olimpiada
92;10;Trener
93;10;Zawodnik
94;10;Mecz
95;10;Gimnastyka artystyczna
96;10;Łyżwiarstwo
97;10;Skoki narciarskie
98;10;Gra zespołowa
99;10;Zawody
100;10;Rower
101;10;Nurkowanie
